Unnamed: 0,user_key,tweet_text_only
50057,rogovilia,LEAKED:  no-fly zone would mean ‘killing a lot of Syrians’ –  speech
50058,sternandreas404,"Die plündern unser  Budni,das oft für  sammelteImmer wieder erklingt ""Hoch die Internationale Solidari…"
50059,malloryjared,“Little Thunder on Turtle Island”
50060,evagreen69,there was no murder
50061,paulinett,Exhibit B
50062,bigseanbeast,'Empire' Cast Endorse Hillary Clinton in Lee Daniels-Directed Ad
50063,hollandpatrickk,Our government is definitely afraid of the ISIS! That`s why they are keeping quiet about the Texas shooting!
50064,paolakinck,Look closely at  episode on 9/11: Lost balance Rigidity Spasticity This was a neurological event https…
50065,redlanews,FBI found 15k Hillary Clinton emails Also new Abedin email leaks Corrupt Clinton!
50066,hollandpatrickk,"By The Rundown Live World Tour Tickets – 2016/17 David Icke – From Prison To Paradise – Vancouver, 2000 (Full"
50067,jeffreykahunas,Dem Files Amendment To Ban Electoral College
50068,mrclydepratt,Did you catch me at the Miami Open today     
50069,newspeakdaily,"Trump and Netanyahu Discuss Border Fence, Status of Jerusalem"
50070,notritahart,Bill O'Reilly is flat out rallying his people with the principles of white nationalism
50071,logan_whatsup,Pelicans Tyreke Evans fighting through the pain to deliver in playoffs
50072,brianaregland,"If you need motivation to vote, here's Beyoncé giving an impromptu word about"
50073,johnbranchh, WORLD FAMOUS!  Cool!
50074,cookncooks,"They gotta go, guys This is not okay Motherfuckers steam cooking and torturing children God is watching and judging, no do…"
50075,garrettsimpson_,"Donald Trump: "" &amp; other  terrorists continually slaughter Christians as part of their global  https…"
50076,usa_gunslinger,"Happy Birthday 
Keep fighting for America!"
50077,laurabaeley,Gunfire wounds four at Waldorf Astoria wedding
50078,leroylovesusa,meet the real 
50079,patriototus,We're gathering this Saturday to celebrate Trump's victory! Support our nation's champion Let's MAGA!
50080,queenofthewo,gin with the letter G and be sponsored by people like YOU!
50081,garrettsimpson_,PowerPost: Trump’s path to an electoral college victory isn’t narrow It’s non-existent
50082,judelambertusa,Impossible to have freedom of speech and not offend people
50083,staywoke88,Michael Steele says Donald Trump’s campaign “captured that racist underbelly … of American life”
50084,michellearry,Obama's first question: can we use this? Any of them black?
50085,dorothiebell,         
50086,kateritterrrr,Bombings in America are the hallmarks of a safer and more secure America according to 0bama and Hillary Clinton
50087,ravenicholson,And that was specifically  who said that
50088,worldnewspoli,WHOA! Chris Mathews Just Lost It On Air &amp; Say Something That’ll Make Trump Cheer!
50089,ten_gop,Sheriff Joe Arpaio: 'A nation without borders is no nation at all'
50090,baobaeham,"Ebonee Spears,  since Jan 15, 2016 from Wilmington, NC"
50091,cookncooks,"  The Hill/Bill ""story"" the excesses of temperment/abuse the crude angry rhetoric for de…"
50092,jeannemccarthy0,Obama Bans Law Enforcement From Asking Syrian Refugees Which Religion They Follow | BB4SP
50093,j0hnlarsen,How can some say Donald Trump lost the debate when he raised more $ in the 24 hrs after th debate than he did th entire camp…
50094,melanymelanin,⚡️ “THE TWERKULATION: A Story of Frooty Booties &amp; Redemption   by 
50095,danageezus,"Miriam-Webster Add Word ""Uge"""
50096,michellearry,its impossible to watch this without laughing out
50097,ameliebaldwin,I've seen bday &amp; wedding cakes but this is the coolest cake I've seen in a while  cake  🇺🇸🇺🇸🇺🇸 ht…
50098,laurabaeley,The Race To Image Exoplanets Heats Up
50099,ameliebaldwin,"Check out ""Donald Trump Your President"" by Rick Poppe   -"
50100,emileewaren,I've been boycotting  ever since my mom never let me eat unhealthy cereals
50101,politweecs,military has rescued 234 more women and children from  That's what a real serving means
50102,hyddrox,Touché 
50103,westernwindwes,… Cruz's stand on Israel
50104,screamymonkey,Obama says new black history museum tells story of America
50105,laurabaeley,Man Injured After Falling From Scaffolding In Lawrenceville
50106,traceyhappymom,Everything existing everywhere at once
50107,datwisenigga,"""Domino Effect"" by "
50108,melanymelanin, Hope we start paying attention to the WRITTEN history Thousands of books confirms this story :
50109,jeffreykahunas,I know we had an election Could someone please tell me when the presidential campaign will be over?
50110,thefoundingson,Сoincidence?
50111,thefoundingson,Disarming yourself is a capitulation!
50112,prettylaraplace,🔥🚨Hillary Birther🚨🔥
50113,rh0lbr00k,After seeing  last night! Remind me of a Song by Led Zeppelin! Dazed and Confused!
50114,giselleevns,"""50% off, one hour only, this Saturday morning @ 5 am"""
50115,hyddrox,"How silly It's news now Who would write AFTER the election or B4 a real contender? Same w/ HRC books BTW, covered Trump s…"
50116,c__wells,5 shots of whisky b4 co Xmas party so I can tolerate the clowns I work with 
50117,traceyhappymom,"Lick the bowl, flush it and walk away"
50118,priceforpierce,Smoking Gun! Ex-lawyer asks Supreme Court to allow release of 'DC Madam' phone records
50119,anthonywoodboy,Taxpayer looks set to be dragged into swine-flu compensation battle
50120,ameliebaldwin,notere dikiz :/
50121,emileewaren,When you vote Tomorrow Remember men Brave men like this that depend on us to make the RIGHT CHOICE I'm v…
50122,emileewaren,Thanks to him everyone has a vote today
50123,melvinsroberts,
50124,peterkistner,"5 Minister sind von der CDU, es ist ihr Erfolg!"
50125,puredavie,put hot guys' images on your Tinder profile when you're just a twisted serial killer looking for some…
50126,giselleevns,Have the candidates prove a theory in Geometry   
50127,traceyhappymom,you support criminals to lead our government
50128,malloryjared,Free 
50129,_nickluna_,Hillary's Erratic Seizures Should Give Voters Pause - Watch This Video!
50130,ameliebaldwin,In Trump We Trust!
50131,laurabaeley,&amp;     
50132,drmichaelgarcia,Why I Am Voting for Donald J Trump—My Man!
50133,dorothiebell,Scandal: Less than 7% of Trillion-Dollar 'Stimulus' Spent on Infrastructure | Human Events
50134,westernwindwes,But Obama could? Panetta: Trump Cannot Govern Through Executive Order - Breitbart
50135,donnabrivera,WEST PALM BEACH --
50136,heyits_toby,California governor bans Redskins name at public schools
50137,dailysanfran,The Latest: Trump calls GOP leaders 'naive' on voter fraud
50138,leroylovesusa,"Here is what Christmas should mean to you!! SHORT READ: ""God's Most Important Words Ever Spoken or Heard"""
50139,dorothiebell,This is simply disqualifying to call half of the country deplorable Just when u think the clintons can't get lower ht…
50140,thefoundingson," That hashtag, lol Very mature"
50141,mr_clampin,"The truth of events at Blackburn Rovers, venkys and Jerome Anderson and his dodgy dealings *allegedly*…"
50142,melvinsroberts,
50143,kathiemrr,Celebrating on Wednesday
50144,_nickluna_,Dick Cheney condemns Donald Trump's plan to ban Muslims from entering the US
50145,ten_gop,"Trump ROCKS!!!!!
Trump ROCKS!!!!!
Trump ROCKS!!!!!
Trump ROCKS!!!!!"
50146,mr_clampin,Down a glass of wine
50147,tpartynews,Clinton's links to Muslim brotherhood are undoubtful  Democratic candidate is a killer
50148,jasper_fly,A smile can mean a thousand words but it can also hide a thousand problems
50149,thefoundingson,"Who knows, who knows"
50150,jeannemccarthy0,"For a child is born to us, a son is given to us The government will rest on his…"
50151,garrettsimpson_,"Sign near Tombstone, Arizona 1937"
50152,ameliebaldwin,"Sean Hannity Takes Gloves Off, Brutally Smacks Down Never Trump GOP Traitors With 9 Vicious Words, It’s EPIC…"
50153,austinlovesbeer,"Asked about the term 'Trumpcare', Price replies: ""I prefer to call it Patientcare This is about patients at the end of…"
50154,pamela_moore13,"Kathleen Willey: ""[ is a fake feminist A champion of women does not attack the victims of sexual a…"
50155,ameliebaldwin,Why shouldn't a gun owner in California have the same open carry rights as someone who lives in Texas? You want to go…
50156,holycrapchrix, I have a plan to combat social stratification in school lunches What do you think?  https…
50157,brianaregland,"180 pounds ago, people were not threatened by my tweets and my articles That must be stated"
50158,cookncooks,Climate change can't be ignored We need to live more simply so others can simply live    https…
50159,nojonathonno,► Some in the media dig in against 'normalizing' Donald Trump  
50160,queenofthewo,have great company
50161,michellearry,Proof Donald Trump IS AND WAS an Establishment guy!  Was Funding Boehner
50162,daileyjadon,"""Demolition Tan"
50163,laurabaeley,POWERFUL: 'Chemical' with guest Subrata Ghoshroy  
50164,ameliebaldwin,"Some of the same people (Saudi Arabia) who fund the Clinton Foundation, also fund ISIS"
50165,alecmooooody,Which makes it Obama America right now
50166,logan_whatsup,$5 million worth of cocaine seized from truck in Riverside County
50167,leroylovesusa,Latin American voters spurn the left  via 
50168,cookncooks,Native voices are underrepresented in our politics Support Measure 1 to empower thousands of Native Alaskans
50169,donnabrivera,Trump received votes from less than 28% of eligible voters Supporters may want to consider that before spouting off Stay…
50170,kathiemrr,to be their own person
50171,ameliebaldwin,WANTED   2     TO  &amp;   ITS DESTROYING US!
50172,laurabaeley,Hillary’s Out: We Just Dodged These Six Bullets
50173,hyddrox,"For your convenience, a nice list of game companies that don't want your business"
50174,puredavie, thats terrible!
50175,dorothiebell,Demonitisation in a nutshell
50176,giselleevns,was a  working under   $20…
50177,paolakinck,Don't forget~
50178,evagreen69,When history class was taught in public schools  All Americans knew this as facts   
50179,batonrougevoice,"Republicans tell Trump to quit, billionaire vows to press on"
50180,ten_gop,"Donald Trump has huge support from women!
But the Media will never show this!"
50181,gloed_up,"I just have some words for you I won't argue w/ you
You are not deserve it One Another racist asshole Malia Obama"
50182,hollydler,IBD) Climate Madness: Obama Pledges 28% Emissions Cut To UN Hoaxsters   -  -
50183,damanimiles,"Trump never endorsed my father,what makes you think my father would have endorse himHe might have voted for him b…"
50184,cynthiamhunter,Obama dropped the case against arms dealer who threatened to expose Hillary's role in providing weapons to extremis…
50185,patriotraphael,
50186,jeffreykahunas,MRI predicts micro  sales will sore from $609 Million in 2015 to $48 Billion by 2021That's about 13 million drones! W…
50187,jasper_fly,"""It's better to live as your own man than as a fool in someone else's dream"" Koenig,"
50188,dominicvalent,"""The Seth?? You Cannot Handle The Seth!!"""
50189,datwisenigga,What a beautiful man
50190,hollandpatrickk,Attorney Suing FBI For Election Interference That Could ‘Lead To Impeachment’ Of Trump
50191,melanymelanin,Reno boy shot by school police remains in coma after stroke
50192,westernwindwes,"He's not perfect, but he's all I want"
50193,datwisenigga,tomorrow night
50194,puredavie,Pokemon Go
50195,southlonestar,There is no such thing as 'white privilege'
50196,baobaeham,"The University of Puerto Rico Student Strike, Explained"
50197,kathiemrr,She played with your feelings just because you lied to her that she was beautiful
50198,alecmooooody,Here's the disgusting audio of Trump on 9/11 bragging about how his building is now the tallest in Lower Manhattan:
50199,evagreen69,Who cares what about these old liars talk about
50200,lazykstafford,"nobody likes irritative, but I just wanna be loved"
50201,evagreen69,Falcons sign fullback Collin Mooney
50202,ameliebaldwin,Walking Up the King's Highway (Loretta Oliver)  via 
50203,emileewaren,Everyone ❤s  but don't forget they're brought to us by the
50204,missourinewsus,"""You can’t expect, voting for the lesser evil every four years, for things to get better"""
50205,giselleevns,Who's gonna get this dead tree outta my house?
50206,mr_clampin,My big toe is huge
50207,hyddrox,Pat Caddell: Ford Moving Jobs to Mexico Is ‘Globalism vs Nationalism’ -- They're 'Proving Trump's Point'
50208,johnbranchh,"""African American history is better than sci-fi or anything else you can imagine What we really went through is incredible!""…"
50209,giselleevns,I win the 7 Pound Pizza Challenge and get the second pie for free
50210,heyits_toby,"It's all wrong, it's all right"
50211,wadeharriot,Admitting It's  Terrorism
50212,ten_gop,This Buddhist monk also thinks that the world is NOT ONLY FOR MUSLIMS!
50213,nataturn,Hezbollah says top commander Mustafa Badreddine was killed by Sunni Islamists - Reuters
50214,giselleevns,Are you sure you have no allergic reaction to sea food?
50215,melanymelanin,The 88th Academy Awards are the most racist ever
50216,johnievogue,▶Mother of US Muslim soldier hits back at Trump over speech silence  
50217,mil0blake,"Due to the significance of today's anniversary, no quotes until tomorrow Hope God has been treating you well, Jason"
50218,cookncooks,BOOM: US District Attorney  Vows To Charge  Obama With  “Treason”
50219,mrclydepratt,"You can't reason with Nazis You can't compromise with proud bigots You can only reject them, and fight"
50220,westernwindwes," OMG,how many times does it have to be repeated? WL don't look for info, they publish what whistleblowers SE…"
50221,austinlovesbeer,This is how music should make you feel I’m in heaven 😊 😊 😊
50222,mrclydepratt,Intelligent Muzik video pick  Principles &amp; Codes (f Diamond D)  via  
50223,baobaeham,"Selma Burke never received credit for her portrait of President Franklin D Roosevelt, which was later featured on the…"
50224,patriotblake,"So great, PE  is honoring his promises to the American people"
50225,cookncooks,Iowa Poll: Trump opens 7-point lead over Clinton
50226,newspeakdaily,Clinton Leads Trump by Six Points in CBS News Poll
50227,evagreen69,just to play with me
50228,atlanta_online,"Donald Trump, evangelicals, Peter Thiel, and a cultural shi  |"
50229,kathiemrr,"your attempt to combine Halloween costumes with Christmas, was a failure &amp; a Walking Dead Santa scared…"
50230,ameliebaldwin,"Clinton: Millions In Bribes, Transitioned Nuclear Resources To Russian Power"
50231,worldofhashtags,Our hashtag game hosted by  starts in 15 minutes
50232,margarethkurz,"Jeder  ist schon schlimm, egal von wem er ausgeübt wird!"
50233,mrclydepratt,now THAT  show I'd watch
50234,hyddrox,Democrats are dividing us by race but they won't succeed! I can't wait to see  heal this country https…
50235,baobaeham,Chicago sues Trump administration over sanctuary city plan
50236,giselleevns,
50237,patriotblake,"At Trump hotel Secret Service swarms the place Trump walks in, sits down next to me w/ Gov Rick Scott, Nigel Farage, I…"
50238,worldnewspoli,“You’re Fascinated With Sex!” Newt Gingrich DESTROYS Megyn Kelly For LYING About Trump!
50239,jacquelinisbest,Pres Obama commented on the Miss Universe issue because that's way easier than commenting on the slowest economic reco…
50240,westernwindwes,against cartoons part of Islam politics   
50241,emileewaren,"EU's 'Dead' Bank-Tax Plan Lives on in German, French Elections -"
50242,patriotblake,PLEASE RETWEET 🇺🇸
50243,brianaregland,Good luck
50244,chrixmorgan,yet another presidential election where the lesser of two evils is the evil of two lessers
50245,baobaeham,PLAY LIKE YOU SUPPOSE TO BE IN THE PLAYOFFS WE ARE CHAMPION
50246,ryanmaxwell_1,What happens when someone in New Hampshire loses in their fantasy football league:
50247,jacquelinisbest,Soviet Toys of Death  a reminder to  RUS committed war crimes in Afghan war and is doing so i…
50248,jasper_fly,Just watch and listen
50249,giselleevns,poor Baudelaire kids will get their happy ending
50250,queenofthewo,daydream about Sam Winchester
50251,laurabaeley,South Texas police officer arrested for soliciting prostitute
50252,leroylovesusa,WITH WEIGHTED COINS?  ekes a Win  …      http…
50253,leroylovesusa,Love the pictures you delight us with on twitter! Happy New Year's Eve!
50254,michellearry,for all those refugees who rape children and live on tax payers' money
50255,patriotblake," sat on Monica Lewinsky story to protect Clinton, you sat on  unmasking story to protect Obama"
50256,evagreen69,"So are we now free to go around beating people's asses, punching them freely &amp; burning their property, because they're comm…"
50257,carriethornthon,"Michele Bachmann on Obama Admin: See Something Say Nothing"""
50258,notritahart,"passport and suitcase in hand Just kidding, I'm having a beer"
50259,pamela_moore13,Thanks for the work!!👏👍
50260,mrclydepratt,"Podcast: Senate Showdown Over Gorsuch SCOTUS Nomination, MLK's  Speech 50 Years Later https…"
50261,giselleevns,skip this ad in 5 secs
50262,lazykstafford,Snatch it outta his hand and now I'm blazin' it up
50263,hollydler,
50264,newarkvoice,Mexico's president contradicts Trump: I told him we won't pay for wall
50265,mrclydepratt,Dikembe Mutombo receives humanitarian award from Harvard Medical School
50266,ameliebaldwin,ThinkBefore!🇺🇸
50267,leroylovesusa,"DEFEAT for BDS at Modern Language Association Pro-BDS resolution defeated, anti-BDS one passes  "
50268,queenofthewo,"Well, these next four years should be interesting"
50269,paolakinck,
50270,hyddrox,This is what the  wants for all Americans
50271,cassieweltch,Thankful To Know 'Em
50272,bricegeller,Donald Trump is now setting a time bomb for racial violence on Election Day:  via  
50273,hyddrox,Post-Christian GOP in *effect*
50274,ten_gop,Mr Trump doesn't see party He doesn't see race and he doesn't see gender He just wants to do what's right for th…
50275,whitehousecards,Поездка Трампа в город флинт вызвала волны возмущений и поддержки
50276,garrettsimpson_,Left going crazy over Trump staff net worth Didn't we just try the community organizer/college professor/ like time po…
50277,jacquelinisbest,CIA Judgment on Russia Built on Swell of Evidence / OR PERHAPS NOT
50278,j0hnlarsen,Didn't do any of this
50279,johnbranchh,Two Piece Double Lined Bikini
50280,newspeakdaily,"Trump Support Rises to 44%, Clinton Unchanged at 46%: ABC/Wapo"
50281,prettylaraplace,Defund Hillary Clinton's Planned Parenthood Baby Body Chop Shop:   -  -
50282,wadeharriot,"""DEPLORABLE PUTIN FOUNDED THE ALT-RIGHT HE IS HACKING MY EMAILS AND TURNING THE FROGS INTO NAZIS!!!!"""
50283,mrclydepratt,I should have breakfast
50284,cookncooks,Obama regime murdered 4 more U S servicemen today in Bahrain Afghanistan
50285,giselleevns,I am ready for all your kisses 😘😘😘
50286,judelambertusa,Actually it's illegal to use person email for this purposes
50287,mr_clampin,so I'll just stand right here and take a couple of pics to post before I leave
50288,westernwindwes,No screening process of Afghani Force 30 SEAL Team6 Killed   
50289,ameliebaldwin,The Clinton Foundation needs to cough up all that money they stole from Haiti
50290,evagreen69,right through the gates of the past and I'm finally free
50291,patriotraphael,"Remember when media freaked out over Hillary's health Why did they care about a ""fake"" story? Then H fainted Media knew sh…"
50292,hyddrox,Marxist inspired Van Jones: Muslim Brotherhood-linked Rep Keith Ellison is future of DNC  
50293,kathiemrr,I'm a huge Nickelback fan
50294,johnbranchh, I will always respect you  👏👏👏👏
50295,giselleevns,
50296,kateritterrrr,Incredible! Trump VP Mike Pence pulls bigger crowd than presidential candidate Hillary Clinton! SHARE THIS!
50297,hyddrox,"Under Secretary Clinton, US Permanently Resettled 31,000 Somali Migrants - Breitbart"
50298,willisbonnerr,Now Playing: Anderson Paak - Come Down -&gt;
50299,evagreen69,"Yeah Sure  is winning only in ""CemeteryVotes"""
50300,jeffreykahunas,Hellmann's throws in towel:
50301,hyddrox,"Amazing rally in Reno, Nevada- thank you Make sure you get out on 11/8 &amp; VOTE  Together, we will put…"
50302,ten_gop,RETWEET if you also think that Sheriff Clarke deserves high ranking part in President Trump's Administration!
50303,baobaeham,Cardi b is the best female rapper of our generation honestly Lick is a masterpiece
50304,kathiemrr,
50305,jeffreykahunas,"Sane people can believe that Trump legitimately won, Hillary was an awful candidate, AND Russia actively tried to infl…"
50306,jasper_fly,Santa has been seeing his own name on the Naughty list Who has become his new favorite to sit on his lap? You have to see…
50307,willisbonnerr,"Check Out the brand new single ""Money Dance"" ft  &amp; "
50308,datwisenigga,A woman’s polite devotion is her greatest beauty~ Proverb
50309,daileyjadon,69ing Maybe anal
50310,chicagodailynew,Watch Hillary Clinton's Full Concession Speech
50311,dailysandiego,The Latest: Obama reporters separated from motorcade
50312,patriotblake,  Please redraw TX  so we can get rid of Jar Jar Sheila Jackson Lee
50313,datwisenigga,Police Report on Uber Self-Driving Car Crash Tells Complex Tale  via 
50314,cassishere,Hillary Clinton’s claim that she tried to join the Marines - The Washington Post
50315,jassscott,There is no way in hell Stein is pulling in 5%
50316,onlinecleveland,Why voters say they are picking Hillary Clinton or Donald Trump
50317,giselleevns,join the ranks of the Twitter elite
50318,leroylovesusa,"don't let me down, U made some promises"
50319,patriotblake,
50320,jery_robertsyo,There is no end to the list of people  stiffed
50321,malloryjared,Why y'all always play OTHER shit when you wanna REALLY party? It's because there's a black hole in our culturegapingmaw 
50322,heyits_toby,Examples like these are exactly why the fashion industry needs to be addressed
50323,mr_clampin,saving that old lady from stepping into traffic and getting hit by a truck No wait  lying  a m…
50324,jeffreykahunas,"Saudi authorities have seized all the books from Al Rawi Cafe in Riyadh, a lovely cultural space  "
50325,ogdeandre,"Trump gave just $31,000 to his own campaign during first three weeks of October"
50326,wadeharriot,Unbelievable corrupt practices by Obama All the appointment was after he won The most damning was Cynthia Stroum
50327,heyits_toby,WiFi-Capable Brain Implants: What Could Possibly Go Wrong?
50328,ryanmaxwell_1,"News post: ""Clinton´s storm of problems lost her the election, NOT Russia, says  top Democrat adviser"""
50329,johnbranchh,Samsung just cannot get it right with the Galaxy Note 7 One catches fire in a plane!
50330,thefoundingson,Meet the first female dictator wanna be
50331,ameliebaldwin,"Wow  ""fact check"" is tweeting complete falsehoods "
50332,_nickluna_,New York Escaped Prisoner Richard Matt Is Reported Killed
50333,paolakinck,Source: Clinton recovered quickly after stumbling into air-conditioned van and  began calling family/staff to report probl…
50334,robertebonyking,"""He's not welcome into our country"""
50335,michellearry,I want to have an honest president 🌞
50336,paolakinck,A Promise to Hillary          https:/…
50337,klara_sauber,Sie kann in hitzigen Debatten die Gemüter beruhigen
50338,giselleevns,Celebrity death match
50339,emileewaren,I think Cruz is better than all these clowns He knows shit!
50340,evagreen69,Strong Relationships Are the Key 😃😂😅
50341,judelambertusa,We can't take away the best option they have
50342,patriotblake,How about when you stop being a fake president?  
50343,pamblmdaniels,"Sorry but if you were peddling that Hillary Clinton was just as bad as trump shit, you were part of the the problem"
50344,cassishere,Hillary Clinton 'couldn't recall' answers to FBI questions about secret server because of CONCUSSION
50345,kathiemrr,
50346,anthonywoodboy,"College Board Makes Printing Error On SAT Exam: Seriously, why?"
50347,datwisenigga,Immortalising  Grime Scene Artistically Hit me up :       
50348,jacquelinisbest,The  has agents in Europe and elsewhere who work with foreign officials to track and combat ISIS operatives leaving…
50349,aldrich420,"Hillary doesn't have a heart, there's nothing to be hurt"
50350,prettylaraplace,Remember when Obama said Cap &amp; Trade would make electricity costs “necessarily skyrocket?” Katie McGinty supports it h…
50351,rh0lbr00k,LMAO!!  She is drapping ass hard and all they have as a back up is drunk Uncle Joe
50352,melvinsroberts,Get off Santa's naughty list
50353,hyddrox,They REAP what they SOW
50354,michellearry,"Rachel,  I can't wait for the pendulum to swing back and Your Tax Returns are ILLEGALLY Made public"
50355,ryanmaxwell_1,Perseverance is not a long race
50356,ameliebaldwin,Obama will be right on it to veto any law alllowing us to sue them for wrecking USA   
50357,anthonywoodboy,Frightening protest balloons of Obama and Merkel in Germany -&gt;
50358,ameliebaldwin,
50359,johnbranchh,"If you are on the  especially  please be safe and prepared,  is nothing to mess w…"
50360,kenzdonovan,"Corrupt CNN, NBC Use Bogus ‘Fact Check’ to Cover for Hillary Clinton on Email Scandal"
50361,datwisenigga,We're looking for song critics! Apply If you have love + knowledge of multiple music genres!
50362,worldofhashtags,Trump's misogyny Wait nevermind that is actually the ONLY topic
50363,notritahart,Some Like it Hot in the City
50364,notritahart,HTTP: Horrifying Trump Tweet Propaganda
50365,judelambertusa,"all these boyfriends doin is gettin their girl mac lipstick, Victoria's secret, and Uggsi would be fine if u just got me some mcdonalds"
50366,hyddrox,I posted a new photo to Facebook
50367,specialaffair,"Exclusive: Obama, aides expected to weigh Syria military options on Friday"
50368,pamela_moore13," ""You have 18 million who are dead who are registered to vote And some of them absolutely vote…"
50369,jaydaastonishin,The NRA running false ads for Trump now on TV
50370,screamymonkey,Security up at NCAA game after threat to Obama's niece (CBS News
50371,melvinsroberts,1 Don't fill up before dinner 2 Pretend to care when others show up 3 Use NFL as an excuse to not help out
50372,logan_whatsup,Comedy Club Owner: Hillary's Demanding Jokes Be Taken Off the Web
50373,c__wells,Talent is cheaper than table salt What separates the talented individual from the successful one is a lot of hard work
50374,willisbonnerr,
50375,traceyhappymom,Dropping my phone
50376,ameliebaldwin,"Read the key word, NY Post confirmed what  said at Rally last night Trump speaks Truth again!"
50377,giselleevns,the GOP nominated a racist Oompa Loompa that doesn't know the difference between right and wrong for P…
50378,giselleevns,watching through reports if
50379,mil0blake,This is Why the United States was Designed as a Republic not a Democracy:
50380,thefoundingson,the MSM? Because of their outrageous hypocrisy
50381,kansasdailynews,Email: Clinton campaign tried to move back Illinois primary
50382,margarethkurz,Sie ist eine leidenschaftliche Gärtnerin und ich auch!
50383,gloed_up,"I don't care he won't be the President 
I just remember we love him"
50384,baobaeham,Listen to the  mix  feat  and  &gt;&gt;
50385,thefoundingson,"And he lives in California, so he probably will be allowed to adopt"
50386,carriethornthon,Taking back  Back at the family home for another generation!
